# JWST blank sky Saha et al.
# https://arxiv.org/pdf/2503.14582
# mass [eV]     photon coupling [GeV^-1]
# Limits from https://arxiv.org/abs/2503.14582
# mass [eV]	photon coupling [GeV^-1]
4.752058e-01	4.076914e-11
4.752059e-01	3.564579e-11
4.752059e-01	4.013211e-11
4.752060e-01	3.586832e-11
4.752068e-01	5.266038e-11
4.752102e-01	5.518687e-11
4.752147e-01	5.854189e-11
4.752181e-01	5.511163e-11
4.752192e-01	5.447346e-11
4.752234e-01	3.360940e-11
4.752335e-01	4.920306e-11
4.752438e-01	5.666775e-11
4.752439e-01	3.845961e-11
4.752441e-01	4.400032e-11
4.752520e-01	3.487846e-11
4.752520e-01	4.935013e-11
4.752525e-01	3.349062e-11
4.752663e-01	4.189678e-11
4.752664e-01	3.509581e-11
4.752664e-01	4.000943e-11
4.752665e-01	3.507000e-11
4.752673e-01	5.177859e-11
4.752708e-01	5.905272e-11
4.752752e-01	5.473316e-11
4.752765e-01	5.762249e-11
4.752797e-01	5.607305e-11
4.752839e-01	3.361799e-11
4.752941e-01	5.276875e-11
4.753044e-01	5.734329e-11
4.753045e-01	3.828847e-11
4.753046e-01	4.363651e-11
4.753125e-01	3.629252e-11
4.753126e-01	5.144980e-11
4.753130e-01	3.564416e-11
4.753269e-01	4.374160e-11
4.753269e-01	3.489535e-11
4.753270e-01	4.042395e-11
4.753271e-01	3.458251e-11
4.753278e-01	5.159932e-11
4.753358e-01	5.235648e-11
4.753370e-01	5.573892e-11
4.753371e-01	4.334866e-11
4.753403e-01	5.798283e-11
4.753444e-01	3.411679e-11
4.753546e-01	5.809483e-11
4.753650e-01	5.769788e-11
4.753651e-01	3.803240e-11
4.753652e-01	4.331380e-11
4.753731e-01	3.829459e-11
4.753731e-01	5.470188e-11
4.753735e-01	3.880635e-11
4.753874e-01	4.656081e-11
4.753874e-01	3.502980e-11
4.753875e-01	4.140114e-11
4.753876e-01	3.441409e-11
4.753883e-01	5.214788e-11
4.753963e-01	5.091099e-11
4.753976e-01	5.496950e-11
4.754050e-01	3.512010e-11
4.754256e-01	5.774396e-11
4.754256e-01	3.771355e-11
4.754258e-01	4.310570e-11
4.754336e-01	4.100949e-11
4.754337e-01	5.920522e-11
4.754341e-01	4.348723e-11
4.754479e-01	5.075141e-11
4.754480e-01	3.549322e-11
4.754480e-01	4.299042e-11
4.754481e-01	3.456019e-11
4.754489e-01	5.339353e-11
4.754569e-01	5.010377e-11
4.754581e-01	5.519791e-11
4.754655e-01	3.662531e-11
4.754862e-01	5.755360e-11
4.754863e-01	3.736766e-11
4.754864e-01	4.308273e-11
4.754942e-01	4.463501e-11
4.754947e-01	5.068582e-11
4.755002e-01	4.408720e-11
4.755085e-01	5.711920e-11
4.755086e-01	3.628461e-11
4.755086e-01	4.527208e-11
4.755087e-01	3.500620e-11
4.755095e-01	5.540156e-11
4.755175e-01	4.973974e-11
4.755186e-01	5.635598e-11
4.755261e-01	3.863670e-11
4.755468e-01	5.723724e-11
4.755469e-01	3.703673e-11
4.755471e-01	4.331191e-11
4.755513e-01	5.978802e-11
4.755548e-01	4.950048e-11
4.755691e-01	3.738516e-11
4.755692e-01	4.831959e-11
4.755693e-01	3.572736e-11
4.755700e-01	5.815156e-11
4.755781e-01	4.969203e-11
4.755792e-01	5.839854e-11
4.755867e-01	4.111852e-11
4.756074e-01	5.691911e-11
4.756075e-01	3.676206e-11
4.756077e-01	4.386084e-11
4.756154e-01	5.608474e-11
4.756297e-01	3.877959e-11
4.756298e-01	5.222684e-11
4.756299e-01	3.668647e-11
4.756354e-01	5.635015e-11
4.756387e-01	4.988738e-11
4.756473e-01	4.396741e-11
4.756634e-01	4.568879e-11
4.756681e-01	5.671878e-11
4.756682e-01	3.657907e-11
4.756684e-01	4.480597e-11
4.756903e-01	4.042785e-11
4.756904e-01	5.707848e-11
4.756905e-01	3.783045e-11
4.756950e-01	5.955606e-11
4.756994e-01	5.029706e-11
4.757079e-01	4.697630e-11
4.757145e-01	5.920339e-11
4.757287e-01	5.674199e-11
4.757288e-01	3.651412e-11
4.757291e-01	4.624561e-11
4.757510e-01	4.225824e-11
4.757511e-01	3.908735e-11
4.757557e-01	5.842227e-11
4.757600e-01	5.092827e-11
4.757685e-01	4.983293e-11
4.757894e-01	5.707849e-11
4.757895e-01	3.658278e-11
4.757898e-01	4.832116e-11
4.757987e-01	4.635413e-11
4.758116e-01	4.415649e-11
4.758118e-01	4.036618e-11
4.758164e-01	5.738162e-11
4.758207e-01	5.181541e-11
4.758268e-01	4.777042e-11
4.758270e-01	5.601571e-11
4.758292e-01	5.214563e-11
4.758501e-01	5.780308e-11
4.758502e-01	3.678900e-11
4.758505e-01	5.125788e-11
4.758723e-01	4.596277e-11
4.758724e-01	4.156210e-11
4.758770e-01	5.809685e-11
4.758770e-01	5.649215e-11
4.758779e-01	5.892388e-11
4.758814e-01	5.301218e-11
4.758898e-01	5.361583e-11
